epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
62,75.1268,1.03471,1.36559,1.36847,0.9832,0.43426,0.4795,0.32135,1.25782,1.85872,1.69357,0.000775534,0.000775534,0.000775534
63,76.1351,1.02782,1.46076,1.38445,0.94002,0.4087,0.50971,0.38944,1.27726,1.97662,1.69966,0.000770034,0.000770034,0.000770034
64,77.1347,0.93449,1.3136,1.37049,0.66612,0.75,0.54725,0.41522,1.20287,1.63722,1.57278,0.000764535,0.000764535,0.000764535
65,78.1283,0.99665,1.39925,1.36132,0.66612,0.75,0.54725,0.41522,1.20287,1.63722,1.57278,0.000759035,0.000759035,0.000759035
66,79.2149,0.84084,1.33053,1.32989,0.72555,0.75,0.55969,0.39392,1.24523,1.44679,1.55552,0.000753536,0.000753536,0.000753536
67,80.2873,0.92335,1.316,1.29045,0.97764,0.5,0.53896,0.36398,1.36302,1.39968,1.59934,0.000748036,0.000748036,0.000748036
68,81.4348,1.00866,1.21883,1.30235,0.9526,0.5,0.54725,0.33936,1.398,1.41611,1.67785,0.000742537,0.000742537,0.000742537
69,82.8925,0.95217,1.31099,1.36689,0.9526,0.5,0.54725,0.33936,1.398,1.41611,1.67785,0.000737037,0.000737037,0.000737037
70,84.4625,0.91095,1.22076,1.2242,0.59285,0.5,0.5147,0.30303,1.47834,1.67666,1.77491,0.000731538,0.000731538,0.000731538
71,85.5187,1.05222,1.37949,1.33535,0.32561,0.5,0.38288,0.26133,1.36412,1.69481,1.73872,0.000726038,0.000726038,0.000726038
72,86.5221,0.89529,1.31176,1.30564,0.86403,0.49291,0.38023,0.25751,1.32022,1.6805,1.72522,0.000720539,0.000720539,0.000720539
73,87.5728,0.98867,1.38707,1.36289,0.86403,0.49291,0.38023,0.25751,1.32022,1.6805,1.72522,0.00071504,0.00071504,0.00071504
74,88.5824,0.93264,1.30982,1.40058,0.67232,0.47354,0.50315,0.3114,1.296,1.70221,1.66072,0.00070954,0.00070954,0.00070954
75,89.6657,0.99493,1.26083,1.27575,0.39942,0.48011,0.50527,0.28401,1.43201,1.91206,1.65295,0.000704041,0.000704041,0.000704041
76,90.6484,0.96218,1.45217,1.31937,0.38318,0.5,0.51386,0.28698,1.40091,1.78735,1.60975,0.000698541,0.000698541,0.000698541
77,91.6137,0.93586,1.33559,1.293,0.38318,0.5,0.51386,0.28698,1.40091,1.78735,1.60975,0.000693042,0.000693042,0.000693042
78,92.6797,0.87736,1.27444,1.26901,0.42516,0.43545,0.51719,0.2926,1.44969,1.8444,1.6148,0.000687542,0.000687542,0.000687542
79,93.8164,0.95384,1.18127,1.30354,0.16483,0.182,0.22636,0.13579,1.46008,2.19102,1.62786,0.000682043,0.000682043,0.000682043
80,95.1477,0.90555,1.27372,1.2892,0.62993,0.15625,0.16026,0.08806,1.66277,2.59988,1.69645,0.000676543,0.000676543,0.000676543
81,96.7476,0.9083,1.28441,1.33734,0.62993,0.15625,0.16026,0.08806,1.66277,2.59988,1.69645,0.000671044,0.000671044,0.000671044
82,98.0812,0.93472,1.28544,1.33809,0.33957,0.20972,0.11276,0.06027,1.62806,2.99431,1.67906,0.000665545,0.000665545,0.000665545
83,99.1635,0.80087,1.1479,1.25329,0.36852,0.1875,0.14289,0.06908,1.66615,3.02256,1.73731,0.000660045,0.000660045,0.000660045
84,100.289,0.90759,1.23877,1.20202,0.39295,0.20925,0.24655,0.15387,1.61998,2.54704,1.72955,0.000654546,0.000654546,0.000654546
85,101.209,0.92085,1.25101,1.33845,0.39295,0.20925,0.24655,0.15387,1.61998,2.54704,1.72955,0.000649046,0.000649046,0.000649046
86,102.35,0.83216,1.25117,1.29739,0.41684,0.25,0.47134,0.30673,1.48172,1.88291,1.63596,0.000643547,0.000643547,0.000643547
87,103.425,0.85696,1.18967,1.28082,0.37655,0.5,0.49907,0.37111,1.31519,1.40834,1.51906,0.000638047,0.000638047,0.000638047
88,104.601,0.83238,1.20446,1.25216,0.35637,0.46875,0.48654,0.36921,1.23636,1.47608,1.46866,0.000632548,0.000632548,0.000632548
89,105.593,0.88576,1.24997,1.20532,0.35637,0.46875,0.48654,0.36921,1.23636,1.47608,1.46866,0.000627048,0.000627048,0.000627048
90,106.592,0.91804,1.14369,1.24485,0.62437,0.46875,0.47978,0.34166,1.1683,1.58832,1.44,0.000621549,0.000621549,0.000621549
91,107.66,0.82088,1.11198,1.25166,0.61313,0.46875,0.45994,0.33069,1.14864,1.74492,1.45225,0.000616049,0.000616049,0.000616049
92,109.218,0.87234,1.14734,1.29725,0.7185,0.217,0.33342,0.22277,1.18643,2.02117,1.48856,0.00061055,0.00061055,0.00061055
93,110.931,0.7751,1.0892,1.19247,0.7185,0.217,0.33342,0.22277,1.18643,2.02117,1.48856,0.000605051,0.000605051,0.000605051
94,111.967,0.79625,1.02451,1.24338,0.40011,0.46545,0.46814,0.29497,1.32499,2.0311,1.6021,0.000599551,0.000599551,0.000599551
95,113.069,0.88865,1.14404,1.21285,0.62536,0.46875,0.48058,0.30001,1.42869,1.92448,1.69589,0.000594052,0.000594052,0.000594052
96,114.118,0.81483,1.08231,1.22078,0.38867,0.46875,0.45401,0.28055,1.49977,2.2163,1.78176,0.000588552,0.000588552,0.000588552
97,115.058,0.79666,1.09487,1.15594,0.38867,0.46875,0.45401,0.28055,1.49977,2.2163,1.78176,0.000583053,0.000583053,0.000583053
98,116.153,0.85455,1.136,1.1888,0.44694,0.23277,0.47593,0.3178,1.49995,2.25363,1.78989,0.000577553,0.000577553,0.000577553
99,117.201,0.8726,1.04799,1.25772,0.46814,0.21447,0.4814,0.31832,1.42822,2.25661,1.81132,0.000572054,0.000572054,0.000572054
100,118.156,0.7983,1.07356,1.189,0.4684,0.21628,0.47598,0.36257,1.41729,2.12433,1.83214,0.000566554,0.000566554,0.000566554
101,119.191,0.823,1.08986,1.23696,0.4684,0.21628,0.47598,0.36257,1.41729,2.12433,1.83214,0.000561055,0.000561055,0.000561055
102,120.216,0.87163,1.10884,1.28292,0.41863,0.46821,0.47934,0.34644,1.43444,1.91554,1.77678,0.000555556,0.000555556,0.000555556
103,121.273,0.81453,1.02185,1.26417,0.72693,0.43442,0.49589,0.32509,1.53753,1.73357,1.82632,0.000550056,0.000550056,0.000550056
104,122.89,0.75676,0.98916,1.16669,0.68648,0.44428,0.50478,0.31318,1.59908,1.69124,1.77651,0.000544557,0.000544557,0.000544557
105,124.419,0.81062,1.14533,1.24664,0.68648,0.44428,0.50478,0.31318,1.59908,1.69124,1.77651,0.000539057,0.000539057,0.000539057
106,125.532,0.76967,1.00947,1.20326,0.68833,0.46875,0.50643,0.30656,1.62753,1.63038,1.84884,0.000533558,0.000533558,0.000533558
107,126.487,0.82948,1.02335,1.24791,0.68694,0.4663,0.50044,0.30762,1.55798,1.65664,1.80235,0.000528058,0.000528058,0.000528058
108,127.404,0.87211,1.09565,1.2547,0.64414,0.47495,0.49158,0.29633,1.58469,1.70513,1.82644,0.000522559,0.000522559,0.000522559
109,128.419,0.82953,1.01508,1.17451,0.64414,0.47495,0.49158,0.29633,1.58469,1.70513,1.82644,0.000517059,0.000517059,0.000517059
110,129.609,0.83989,1.04695,1.19823,0.66256,0.48,0.47574,0.32524,1.74583,1.9838,1.95297,0.00051156,0.00051156,0.00051156
111,130.559,0.74634,0.98592,1.19282,0.67796,0.49726,0.47844,0.32453,1.90405,1.95953,1.92268,0.00050606,0.00050606,0.00050606
112,131.621,0.7517,0.9617,1.20807,0.61305,0.46686,0.49247,0.28006,1.91406,2.01222,1.86802,0.000500561,0.000500561,0.000500561
113,132.626,0.66203,0.88984,1.11749,0.61305,0.46686,0.49247,0.28006,1.91406,2.01222,1.86802,0.000495062,0.000495062,0.000495062
